Player,Runs,ScoreRate,Country,centuries,missed centuries,ducks
Sachin R Tendulkar,18111.0,74.61212669683265,442,48,17,20
Ricky T Ponting,13686.0,69.83119444444444,360,30,5,20
Sanath T Jayasuriya,13430.0,77.5775057736721,433,28,6,34
Inzamam-ul-Haq,11739.0,67.45311428571429,351,10,2,20
Jacques H Kallis,11372.0,63.60085808580856,303,17,8,17
Sourav C Ganguly,11363.0,64.90043333333332,300,22,3,16
Rahul Dravid,10889.0,66.91160377358489,318,12,3,13
Brian C Lara,10405.0,70.71830449826992,289,19,3,16
D P Mahela Jayawardene,9913.0,65.05869696969702,330,15,3,26
Mohammad Yousuf,9720.0,67.17329670329666,273,15,4,15
Adam C Gilchrist,9619.0,86.78236559139783,279,16,6,19
Kumar C Sangakkara,9540.0,69.94393617021278,282,11,1,10
Mohammad Azharuddin,9378.0,69.66844155844164,308,7,5,9
Pinnaduwage A de Silva,9284.0,72.22793918918917,296,11,8,17
Saeed Anwar,8824.0,72.01553278688525,244,20,2,15
Shivnarine Chanderpaul,8778.0,68.70087649402387,251,11,5,6
Desmond L Haynes,8648.0,52.77962025316457,237,17,3,13
Marvan S Atapattu,8529.0,59.97355212355214,259,11,4,13
Mark E Waugh,8500.0,65.8502966101695,237,18,2,16
Herschelle H Gibbs,8094.0,68.41941666666662,240,21,4,22
Christopher H Gayle,8087.0,72.76044843049328,223,19,4,22
Yuvraj Singh,8051.0,79.13948412698414,252,13,3,15
Stephen P Fleming,8037.0,65.08631970260222,269,8,3,17
Virender Sehwag,7760.0,93.87600000000002,230,14,4,12
Stephen R Waugh,7569.0,69.41430555555557,288,3,1,17
Arjuna Ranatunga,7456.0,68.38435294117649,255,4,2,20
Javed Miandad,7381.0,65.68435779816512,218,8,1,8
Salim Malik,7170.0,68.5674609375,256,5,2,20
Nathan J Astle,7090.0,61.723456221198155,217,16,7,19
Michael G Bevan,6912.0,73.39551020408166,196,6,0,5
Gary Kirsten,6798.0,60.52005405405405,185,13,4,11
Andrew Flower,6786.0,67.04990384615384,208,4,2,14
Isaac V A Richards,6721.0,85.41149700598798,167,11,3,7
Shahid Afridi,6695.0,103.14927392739277,303,6,0,26
Michael J Clarke,6619.0,70.45989361702127,188,6,6,10
Grant W Flower,6571.0,56.98897196261682,214,6,8,18
Ijaz Ahmed,6564.0,74.72142241379306,232,10,3,14
Allan R Border,6524.0,67.04702380952384,252,3,2,12
Mahendra S Dhoni,6497.0,85.30714285714282,175,7,5,6
Younis Khan,6442.0,64.96847926267282,217,6,1,21
Graeme C Smith,6360.0,71.84687861271676,173,8,4,8
Richard B Richardson,6248.0,56.13230414746542,217,5,5,8
Matthew L Hayden,6133.0,70.26180645161288,155,10,4,9
Dean M Jones,6068.0,66.05378881987575,161,7,5,6
David C Boon,5964.0,58.262824858757064,177,5,3,6
Jonathan N Rhodes,5935.0,75.37209090909091,220,2,2,15
Ramiz Raja,5841.0,53.865532994923846,197,9,1,16
Carl L Hooper,5761.0,72.30029126213591,206,7,1,7
Ramnaresh R Sarwan,5644.0,72.78229813664595,161,4,5,6
Tillekeratne M Dilshan,5606.0,81.42110526315787,190,10,1,7
Wessel J Cronje,5565.0,73.57342857142854,175,2,4,8
Alaysinhji D Jadeja,5359.0,66.71011173184357,179,6,3,10
Damien R Martyn,5346.0,71.41329670329672,182,5,2,11
Shoaib Malik,5204.0,74.357816091954,174,7,1,10
Alistair D R Campbell,5185.0,56.564728260869565,185,7,3,11
Roshan S Mahanama,5162.0,56.235757575757575,198,4,3,16
Cuthbert Gordon Greenidge,5134.0,60.189448818897624,127,11,2,3
Paul D Collingwood,5092.0,72.62646408839778,181,5,3,7
Andrew Symonds,5088.0,83.1021118012422,161,6,2,15
Abdul Razzaq,5063.0,83.66730088495576,227,3,0,16
Christopher L Cairns,4950.0,81.18772020725392,193,4,0,9
Michael E K Hussey,4862.0,88.7090579710145,138,3,0,4
Aamir Sohail,4780.0,57.79670967741933,156,5,3,10
Craig D McMillan,4707.0,68.71426229508195,183,3,0,9
Martin D Crowe,4704.0,64.16371428571429,140,4,6,3
Mark V Boucher,4686.0,80.89782805429867,221,1,0,18
Alec J Stewart,4677.0,61.39067901234567,162,4,2,14
Abraham B de Villiers,4523.0,82.65191304347827,115,11,2,6
Scott B Styris,4483.0,73.65565217391301,161,4,0,9
Navjot S Sidhu,4413.0,57.45314960629923,127,6,3,7
Christopher Z Harris,4379.0,66.2012676056338,213,1,0,12
Geoffrey R Marsh,4357.0,47.83208695652174,115,9,2,4
Marcus E Trescothick,4335.0,69.12467213114756,122,12,1,13
Graham A Gooch,4290.0,54.996065573770466,122,8,3,4
Gautam Gambhir,4286.0,73.77817391304346,115,9,1,8
Andrew J Strauss,4205.0,68.72464000000001,125,6,2,9
Shane R Watson,4186.0,85.7664462809917,121,6,2,8
Brendon B McCullum,4181.0,83.49371257485028,167,3,1,15
Krishnamachari Srikkanth,4091.0,60.703310344827585,145,4,5,11
W Upul Tharanga,4064.0,62.5715702479339,121,12,0,11
Allan J Lamb,4010.0,69.480593220339,118,4,4,8
Brendan R M Taylor,3985.0,59.78750000000001,128,6,3,8
Russel P Arnold,3950.0,71.1858064516129,155,1,1,7
Kevin P Pietersen,3903.0,76.02491071428571,112,7,1,6
Asanka P Gurusinha,3902.0,54.883286713286694,144,2,0,12
John G Wright,3891.0,49.40932432432434,148,1,1,9
Daryll J Cullinan,3860.0,62.27210526315787,133,3,1,10
Graeme A Hick,3846.0,62.11440677966104,118,5,2,10
Hashan P Tillakaratne,3789.0,54.93589285714287,168,2,0,11
Kapil Dev,3783.0,83.98454545454543,198,1,0,16
Wasim Akram,3717.0,84.67800000000003,280,0,0,32
Romesh S Kaluwitharana,3711.0,69.15171270718227,181,2,2,24
Imran Khan,3709.0,74.56735099337747,151,1,0,6
Philip V Simmons,3675.0,59.58173913043478,138,5,1,14
Nicholas V Knight,3626.0,60.9104,100,5,1,7
Lance Klusener,3576.0,87.77043795620433,137,2,2,13
Shaun M Pollock,3519.0,84.6779512195122,205,1,0,24
Mark A Taylor,3514.0,51.1771818181818,110,1,2,4
Dillip B Vengsarkar,3508.0,60.28066666666663,120,1,2,7
Hendrik H Dippenaar,3421.0,65.2794736842105,95,4,1,4
Stephen O Tikolo,3421.0,61.25124031007751,130,3,3,13
Mohammad Ashraful,3396.0,61.12871951219509,164,3,1,13
Andrew Flintoff,3394.0,79.18106557377047,122,3,1,9
Kepler C Wessels,3367.0,51.73571428571429,105,1,1,0
Shakib Al Hasan,3342.0,70.87280701754385,114,5,1,6
Adam C Parore,3314.0,63.693540372670796,161,1,2,20
Tatenda Taibu,3297.0,56.657761194029845,134,2,2,16
Moin Khan,3266.0,76.8767213114754,183,0,0,19
Ian R Bell,3234.0,67.64067307692311,104,1,0,6
Luteru R P L Taylor,3185.0,75.5810101010101,99,5,1,6
Suresh K Raina,3172.0,81.5819090909091,110,3,0,8
David I Gower,3170.0,66.08819819819819,111,7,1,6
Kenneth R Rutherford,3143.0,57.01339130434783,115,2,0,7
Tamim Iqbal,3112.0,70.17,106,3,1,10
Ravishankar J Shastri,3108.0,59.98703124999999,128,4,0,6
Sunil M Gavaskar,3092.0,56.479215686274486,102,1,2,8
Darren S Lehmann,3078.0,75.68831683168317,101,4,2,5
Hamilton Masakadza,2994.0,56.13203539823008,113,3,0,13
Heath H Streak,2943.0,77.51433962264146,159,0,0,8
Kamran Akmal,2924.0,78.79591666666664,120,5,0,6
Wavell W Hinds,2880.0,57.01360360360356,111,5,1,9
Marlon N Samuels,2862.0,70.50774774774773,111,2,2,5
Augustine L Logie,2809.0,70.03654135338346,133,1,0,13
Andrew H Jones,2784.0,49.54643678160919,87,0,1,4
Mohammad Kaif,2753.0,64.54481818181816,110,2,2,8
Elton Chigumbura,2744.0,78.62738461538461,130,0,0,9
Stuart V Carlisle,2740.0,55.12616822429906,107,3,1,11
Salman Butt,2725.0,55.671410256410255,78,8,0,15
Roger G Twose,2717.0,69.07172839506174,81,1,2,6
Guy J Whittall,2705.0,64.19253521126761,142,0,0,12
Mudassar Nazar,2653.0,50.07078260869564,115,0,1,6
Virat Kohli,2617.0,70.17378787878785,66,7,2,5
Syed Zaheer Abbas,2572.0,74.89716666666665,60,7,3,2
Andrew C Hudson,2559.0,51.57238636363638,88,2,2,6
Hashim M Amla,2538.0,86.56686274509804,51,8,2,1
Bradley J Haddin,2511.0,77.8787356321839,87,2,0,2
Vinod G Kambli,2477.0,64.99113402061852,97,2,0,4
Robin A Smith,2419.0,55.979142857142854,70,4,1,4
Thomas M Odoyo,2418.0,64.94059829059829,118,1,0,12
Lou Vincent,2413.0,59.32363636363633,99,3,0,8
Graham P Thorpe,2380.0,66.94974025974025,77,0,0,3
Vangipurappu V S Laxman,2338.0,59.65409638554217,83,6,1,4
Rabindra R Singh,2336.0,74.2658407079646,113,1,0,5
Nasser Hussain,2332.0,54.91908045977011,87,1,2,6
Gregory S Chappell,2331.0,63.35347222222221,72,3,1,7
Misbah-ul-Haq,2308.0,76.16422535211268,71,0,1,3
Jacob D P Oram,2293.0,85.22816513761471,109,1,0,8
Jean-Paul Duminy,2289.0,79.45648648648648,74,2,1,7
Sherwin L Campbell,2283.0,50.94310344827588,87,2,0,9
Vusimuzi Sibanda,2273.0,48.399587628865966,97,1,4,12
Eoin J G Morgan,2241.0,73.72130434782608,69,4,2,4
Graeme M Wood,2219.0,50.84753246753247,77,3,2,4
Mark J Greatbatch,2206.0,63.308192771084336,83,2,0,7
James C Adams,2204.0,55.44857142857141,106,0,0,7
Stuart Matsikenyeri,2196.0,63.723962264150956,106,0,0,8
Habibul Bashar,2168.0,46.09019047619047,105,0,0,18
Shahriar Nafees,2162.0,54.64319444444445,72,4,1,11
Mohammad Hafeez,2132.0,58.60731707317075,82,3,1,8
Ian T Botham,2113.0,80.19867924528302,106,0,0,6
Daniel L Vettori,2105.0,77.95453488372092,172,0,0,26
Michael W Gatting,2095.0,63.097045454545444,88,1,1,5
Neil H Fairbrother,2092.0,68.38042253521125,71,1,0,2
Ricardo L Powell,2085.0,86.74770000000001,100,1,0,8
Cameron L White,2037.0,78.91520547945206,73,2,0,3
Yasir Hameed,2028.0,58.87053571428572,56,3,1,2
W P U J Chaminda Vaas,2025.0,70.70195454545451,220,0,0,30
Kennedy O Otieno,2016.0,42.78563218390805,87,2,0,12
Sanjay V Manjrekar,1994.0,55.501285714285714,70,1,0,4
Michael P Vaughan,1982.0,58.15722891566264,83,0,0,10
Clive H Lloyd,1977.0,79.8708695652174,69,1,0,1
Mushfiqur Rahim,1975.0,57.59489130434781,92,1,1,8
Kimberley J Hughes,1968.0,53.14522727272729,88,0,1,13
Ashish Bagai,1961.0,59.48796610169492,59,2,2,2
Aftab Ahmed,1954.0,77.09341176470586,85,0,1,8
Peter J L Dujon,1945.0,68.44683333333334,120,0,0,8
Mohinder Amarnath,1924.0,52.38386666666667,75,2,0,2
Dwayne J J Bravo,1910.0,75.75052083333331,96,1,0,8
Keith L T Arthurton,1904.0,59.44870967741934,93,0,0,14
Imran Nazir,1895.0,69.53075949367089,79,2,0,10
Mohsin Khan,1877.0,48.931733333333334,75,2,0,3
Jeremy V Coney,1874.0,65.99537499999998,80,0,0,1
Ridley D Jacobs,1865.0,65.43741071428572,112,0,0,14
Manoj M Prabhakar,1858.0,56.13479591836734,98,2,1,9
Owais A Shah,1834.0,67.78984848484848,66,1,1,7
Collins O Obuya,1821.0,64.52088607594935,79,0,1,5
Murray W Goodwin,1818.0,61.890571428571455,70,2,0,1
Khaled Mashud,1818.0,52.779909090909065,110,0,0,10
Bruce A Edgar,1814.0,41.67703125,64,1,1,3
Ian J L Trott,1798.0,69.93846153846155,39,3,3,2
Michael A Atherton,1791.0,50.59537037037035,54,2,1,4
Ian A Healy,1764.0,79.78391666666668,120,0,0,10
Martin J Guptill,1753.0,73.23346153846154,52,2,1,2
Richard J Hadlee,1751.0,78.46806122448979,98,0,0,4
William T S Porterfield,1726.0,56.46553571428571,56,5,0,3
Craig B Wishart,1719.0,61.18,82,2,0,8
Rashid Latif,1709.0,71.70222222222222,117,0,0,10
Dihan A Gunawardene,1708.0,60.381311475409845,61,1,0,5
Neil D McKenzie,1688.0,66.018,55,2,0,2
Neil C Johnson,1679.0,64.03520833333333,48,4,2,2
Bryan A Young,1668.0,55.961780821917806,73,0,0,5
Kevin J O'Brien,1660.0,77.05711864406781,59,2,1,3
Umagiliya D U Chandana,1627.0,67.65099099099096,111,0,0,9
Glenn M Turner,1598.0,59.65125000000002,40,3,1,1
Lindamlilage P C Silva,1587.0,61.99409836065572,61,1,0,6
Stuart C Williams,1586.0,53.24854545454545,55,1,0,6
Saleem Elahi,1579.0,70.28829787234044,47,4,0,3
Roy L Dias,1573.0,57.66563636363637,55,2,0,4
Ravinda S Bopara,1560.0,75.00338461538462,65,0,1,2
Ryan N ten Doeschate,1541.0,80.48406250000001,32,5,1,1
David L Houghton,1530.0,60.68716666666669,60,1,0,5
Louis R D Mendis,1527.0,68.54121621621621,74,0,0,4
Azhar Mahmood,1521.0,76.5649090909091,111,0,0,10
Runako S Morton,1519.0,50.05901960784313,51,2,0,7
Jeffrey J Crowe,1518.0,57.78366197183098,71,0,0,6
Justin M Kemp,1512.0,76.06818181818181,66,1,0,6
Ravindu D Shah,1506.0,53.63490909090911,55,1,0,5
Rohit G Sharma,1505.0,60.7484126984127,63,2,0,7
Alastair N Cook,1458.0,67.77804878048781,41,2,1,4
Hamish J H Marshall,1454.0,64.76032258064515,62,1,0,3
Dion D Ebrahim,1443.0,49.24276315789474,76,1,0,8
Chamara K Kapugedera,1443.0,66.88124999999998,72,0,1,5
Hilary A Gomes,1415.0,49.80031250000001,64,1,0,5
Nico Boje,1414.0,87.51394366197181,71,2,0,3
Maurice O Odumbe,1409.0,64.74542372881355,59,0,0,6
Geoffrey P Howarth,1384.0,57.622,65,0,0,2
Irfan K Pathan,1369.0,72.62166666666666,78,0,0,9
Brian C Broad,1361.0,48.85882352941177,34,1,2,2
Paul R Stirling,1349.0,88.56529411764706,34,4,0,1
Peter G Fulton,1334.0,66.92826086956521,46,1,0,2
James R Hopes,1326.0,98.87180327868852,61,0,0,1
David O Obuya,1325.0,54.24140845070423,71,0,1,10
Simon M Katich,1324.0,65.47285714285714,42,1,0,3
Mohammad Mahmudullah,1318.0,70.45508196721312,61,0,0,2
Javed Omar,1312.0,45.450847457627134,59,0,0,2
Imrul Kayes,1309.0,63.67574468085106,47,1,1,1
Raqibul Hasan Jnr,1308.0,51.58703703703703,54,0,0,6
Matthew S Sinclair,1304.0,45.75019999999999,50,2,0,8
Peter N Kirsten,1293.0,52.605750000000015,40,0,1,0
Maurice A Ouma,1291.0,49.20652173913044,69,0,0,6
Umar Akmal,1285.0,79.19950000000001,40,1,0,3
Matthew J Prior,1282.0,66.74951612903224,62,0,0,6
Shaun E Marsh,1274.0,65.22444444444443,36,2,0,2
Nayan R Mongia,1272.0,68.254375,96,0,0,6
Shoaib Mohammad,1269.0,42.361724137931034,58,1,0,8
Ajit B Agarkar,1269.0,76.11256637168141,113,0,1,11
Basit Ali,1265.0,71.29255813953486,43,1,0,3
C Justice Chibhabha,1247.0,51.76166666666666,60,0,0,5
Simon P O'Donnell,1242.0,73.86765625,64,0,0,6
Stuart G Law,1237.0,68.29411764705883,51,1,1,4
Handunettige D P K Dharmasena,1232.0,71.05034482758622,87,0,0,2
Gavin M Hamilton,1231.0,59.20026315789474,38,2,0,1
Dinesh Mongia,1230.0,62.989215686274505,51,1,0,4
Imran Farhat,1226.0,60.079499999999996,40,1,1,3
Rodney W Marsh,1225.0,75.91855263157893,76,0,0,7
Alok Kapali,1223.0,55.77923076923075,65,1,0,5
Thomas M Moody,1211.0,61.822031250000016,64,0,0,7
Niall J  O'Brien,1198.0,63.81714285714287,49,0,0,3
Junaid Siddique,1196.0,61.61132075471699,53,1,1,6
Harbhajan Singh,1190.0,71.58138211382114,123,0,0,18
Mohammad Rafique,1190.0,61.581509433962275,106,0,0,16
Mashrafe Bin Mortaza,1178.0,82.365,92,0,0,10
Jacobus A Rudolph,1174.0,64.62666666666665,39,0,0,0
Prosper Utseya,1160.0,64.70324324324324,111,0,0,17
Sean C Williams,1147.0,63.14195652173913,47,0,0,3
Alex A Obanda,1139.0,72.65405405405404,37,0,1,1
Hitesh S Modi,1109.0,51.28678571428572,56,0,0,5
Bastiaan Zuiderent,1098.0,47.56285714285714,56,0,0,7
Vikram S Solanki,1097.0,63.14739130434783,46,2,0,2
Jesse D Ryder,1094.0,77.23548387096774,31,2,0,3
Paul A Strang,1090.0,62.3445205479452,73,0,0,8
Geoffrey Boycott,1082.0,49.54264705882353,34,1,1,1
Mohammad Asif Mujtaba,1068.0,52.25981818181818,55,1,0,8
Derek W Randall,1067.0,57.10288888888889,45,0,0,4
Angelo D Mathews,1065.0,77.57261904761904,42,0,0,4
James K Kamande,1055.0,62.187083333333334,72,0,0,9
Ian D S Smith,1055.0,95.88233766233765,77,0,0,7
Jamie M How,1046.0,56.32675675675675,37,1,0,3
Don S B P Kuruppu,1022.0,46.41173076923077,52,0,0,3
Ashwell G Prince,1018.0,63.1612195121951,41,0,0,4
Shane K Warne,1018.0,74.25476635514018,107,0,0,13
Devon S Smith,1014.0,62.782500000000006,40,1,1,2
Krishna K D Karthik,1012.0,66.8534090909091,44,0,0,4
Rajin Saleh,1005.0,42.69674418604651,43,1,0,5
Sandeep M Patil,1005.0,66.46142857142856,42,0,0,4
Neil F I McCallum,1002.0,55.782142857142865,42,2,0,4
Khaled Mahmud,991.0,61.78486111111111,72,0,0,9
Michael J Slater,987.0,52.0907142857143,42,0,0,3
Bernard L Cairns,987.0,92.47384615384614,65,0,0,6
Mohamed F Maharoof,984.0,86.17406249999999,64,0,0,5
Matthew J Horne,980.0,57.233749999999986,48,0,0,3
Akram Khan,976.0,50.38363636363638,44,0,0,3
David F Watts,974.0,47.6917142857143,35,1,1,4
Waqar Younis,969.0,64.48733812949641,139,0,0,22
Lendl M P Simmons,966.0,53.852333333333334,30,1,0,5
Shane A Thomson,964.0,60.92653846153847,52,0,0,3
James E C Franklin,962.0,74.21828124999999,64,0,1,5
Gregory M Ritchie,959.0,55.46904761904763,42,0,0,2
Brett Lee,957.0,74.53479591836735,98,0,0,20
Malcolm D Marshall,955.0,74.9244578313253,83,0,0,7
Ranjan S Madugalle,950.0,54.2325,57,0,0,4
Ryan R Watson,950.0,67.43314285714287,35,1,0,4
David J Hussey,940.0,86.00156249999998,32,1,0,1
Anil  Kumble,938.0,60.84941176470587,136,0,0,23
Craig M Spearman,936.0,60.364799999999995,50,0,0,6
Dwayne R Smith,925.0,95.95360655737703,61,0,0,7
Gary C Wilson,908.0,72.59441176470588,34,1,0,3
Tanmay Mishra,907.0,61.31176470588236,34,0,0,4
Sunil Dhaniram,906.0,72.17,41,0,1,3
Andrew J Hall,905.0,69.19375,56,0,0,7
Denesh Ramdin,903.0,73.4784126984127,63,0,0,2
Stephen B Smith,887.0,59.24800000000001,25,2,0,2
Yashpal Sharma,883.0,65.00075000000001,40,0,0,0
Javagal Srinath,883.0,69.9090082644628,121,0,0,25
Sahan H T Kandamby,870.0,70.40114285714287,35,0,2,1
Mark A Vermeulen,868.0,61.45511627906976,43,0,1,4
David J Richardson,868.0,69.3387012987013,77,0,0,7
Hemang K Badani,867.0,73.34666666666666,36,1,0,1
Keiron A Pollard,867.0,88.12658536585366,41,0,1,5
Tom L W Cooper,864.0,73.31111111111112,18,1,1,0
Thilan T Samaraweera,862.0,64.58738095238094,42,2,0,4
Dennis L Amiss,859.0,64.05499999999999,18,4,0,0
Roger A Harper,855.0,72.01616438356162,73,0,0,8
Wayne B Phillips,852.0,92.18682926829268,41,0,0,2
Charles W J Athey,848.0,44.79266666666667,30,2,0,1
Ruwan S Kalpage,844.0,68.79449275362317,69,0,0,3
Maitipage A R Samarasekera,844.0,60.15384615384615,39,0,0,2
Darren Ganga,843.0,46.79205882352941,34,0,0,5
Kyle D Mills,843.0,82.0947435897436,78,0,0,8
Brian M McMillan,841.0,62.27307692307692,52,1,0,3
Alvin I Kallicharran,826.0,58.48999999999999,28,0,0,0
David W Hookes,826.0,59.650555555555556,36,0,0,3
Eric S Szwarczynski,825.0,65.0444117647059,34,0,0,1
Joseph R Ratnayeke,824.0,50.504347826086956,69,0,0,6
Graham N Yallop,823.0,62.87481481481482,27,0,0,1
Charles K Coventry,819.0,73.17058823529412,34,1,0,5
Andrew C Waller,818.0,64.65394736842104,38,0,0,4
Geraint O Jones,815.0,77.2280487804878,41,0,0,2
